Site,Borough,Coords - Easting,Coords - Northing,Latitude,Longitude
Hereford Road,Westminster,525453.37,180970.67,51.513735,-0.19348667
Sedding Street,K&C,528051.649,178742.097,51.49313,-0.15687554
Waterloo Road,Lambeth,531063,180124,51.50486,-0.11300115
Strand,Westminster,530892.116,180973.289,51.512529,-0.11514867
Aberdeen Place,Westminster,526598.677,182219.159,51.524704,-0.17654673
George Street,Westminster,528172.69,181479.34,51.517699,-0.15413982
Columbia Road,Tower Hamlets,533605.501,182785.36,51.528178,-0.075389567
Clifton Street,Hackney,533087,182217,51.523196,-0.083066761
Devonshire Terrace,Westminster,526404.29,180965.76,51.513478,-0.17979099
Clifford Street,Westminster,529009.14,180717.07,51.510661,-0.14236214
Cadogan Gardens,K&C,527841.178,178665.799,51.492485,-0.15992668
Brick Lane Market,Tower Hamlets,533879.41,182173.46,51.522613,-0.07167445
Buxton Street,Tower Hamlets,534077.971,182085.39,51.521776,-0.068855696
Imperial College,Westminster,526447.903,179402.677,51.499422,-0.17973153
Holland Walk,K&C,524978.879,179692.456,51.502355,-0.20078078
Snow Hill,City,531678.31,181527.824,51.517325,-0.10362176
Charlotte Street,Camden,529439.8,181714.86,51.519523,-0.13580356
Stanhope Gate,Westminster,528442.283,180280.999,51.506863,-0.1506871
Moor Street,Westminster,529849.98,181057.35,51.513524,-0.13013947
Frith Street,Westminster,529774.65,181008.22,51.513101,-0.1312377
Rathbone Street,Westminster,529495.82,181564.12,51.518162,-0.13505196
Upper Grosvenor Street,Westminster,528079.768,180634.274,51.510127,-0.15578615
Farm Street,Westminster,528659.11,180562.066,51.509348,-0.14745933
Southampton Street,Westminster,530439.87,180758.83,51.510702,-0.12175241
Marloes Road,K&C,525581.649,179135.84,51.497215,-0.19229581
Fire Brigade Pier,Lambeth,530502.265,178847.18,51.493514,-0.12155142
Paddington Green,Westminster,526746.15,181722.87,51.520205,-0.17459317
Waterloo Bridge,Lambeth,531015.1,180177.78,51.505347,-0.11367267
Prince Consort Road,Westminster,526675.066,179450.831,51.499802,-0.17643142
Millbank Tower,Westminster,530219.448,178658.479,51.49188,-0.12569526
Greycoat Street,Westminster,529617.55,178944.29,51.494589,-0.13425668
Kensington Town Hall,K&C,525421.46,179657.41,51.501942,-0.19441412
King Edward Walk,Lambeth,531299.85,179339.15,51.497751,-0.10989469
Sardinia Street,Camden,530681.797,181260.296,51.515157,-0.11808127
Harriet Street,K&C,527864.13,179533.78,51.500281,-0.15928133
Harrowby Street,Westminster,527463.89,181423.65,51.517356,-0.16437272
Waterloo Station,Lambeth,531040.64,180023.88,51.503958,-0.11336984
Alfred Place,Camden,529680.144,181734.921,51.519647,-0.13232468
Millennium Hotel,Westminster,528391.392,180732.216,51.510937,-0.15125712
Royal College Street,Camden,529520.995,183579.082,51.536264,-0.13395163
City Road ,Islington,531880.29,182981.45,51.530344,-0.10016845
High Holborn,Camden,530242.65,181390.92,51.516427,-0.12435628
Lord's,Westminster,526944.459,182707.833,51.529012,-0.17138635
Northumberland Avenue,Westminster,530288.49,180330.72,51.50689,-0.12408507
Butler Place,Westminster,529531.225,179313.999,51.497925,-0.13535948
Howland Street,Camden,529212.827,181872.491,51.520994,-0.13901554
South Kensington Station,K&C,526871.13,178855.66,51.494411,-0.17382299
Oval Way,Lambeth,530818.29,178083.32,51.486575,-0.11728504
Macclesfield Road,Islington,532093.01,182886.94,51.529441,-0.097135189
Vauxhall Street,Lambeth,530854.046,178153.98,51.487196,-0.11674094
Queen's Gate,Royal Parks,526435.477,179658.216,51.501725,-0.17981265
Crosswall,City,533532.34,180937.71,51.511588,-0.077140892
Grosvenor Square,Westminster,528440.37,180870.5,51.512166,-0.15050119
Lower Marsh,Lambeth,531010.65,179597.35,51.500136,-0.11395989
Horse Guards Avenue,Westminster,530350.66,180115.2,51.504944,-0.12327163
Ampton Street,Camden,530630.49,182607.79,51.527274,-0.11831693
Southampton Place,Camden,530447.71,181526.59,51.517602,-0.12135326
Queen Victoria Street,City,532121.28,180941.66,51.511956,-0.097460371
Bank of England Museum,City,532797.84,181235.22,51.514439,-0.087614034
Warwick Road,K&C,524679.82,179056.82,51.496705,-0.20531086
Finsbury Square,Islington,532914.39,181963.95,51.520954,-0.085654625
Campden Hill Road,K&C,525088.74,180165.36,51.506581,-0.19902921
Pont Street,K&C,527739.05,179152.13,51.496885,-0.16121899
Empire Square,Southwark,532687.96,179716.97,51.500815,-0.089769352
Albert Embankment,Lambeth,530422.63,178502.44,51.490432,-0.12283049
Baker Street,Westminster,528026.98,181610.41,51.51891,-0.1561953
Grafton Street,Westminster,528931.26,180640.57,51.509987,-0.14351362
Waterloo Place,Westminster,529754.16,180287.75,51.506626,-0.13179083
Broadwick Street,Westminster,529469.99,181065.13,51.513683,-0.13560959
Bourne Street,Westminster,528303.17,178497.38,51.490871,-0.15333659
Frampton Street,Westminster,526699.99,182071.19,51.523352,-0.17514484
Gloucester Terrace,Westminster,525814.32,181444.5,51.517914,-0.18811806
Chadwell Street,Islington,531445.7,182988.8,51.530509,-0.10643325
Cleveland Gardens,Westminster,526166.22,181195.94,51.515598,-0.1831367
London Zoo,Royal Parks,527994.99,183502.41,51.53592,-0.1559694
St. Chad's Street,Camden,530436.76,182911.99,51.53005,-0.12099941
Cartwright Gardens,Camden,530100.11,182491.47,51.526354,-0.12599546
Brunswick Square,Camden,530348.16,182230.04,51.523951,-0.12251907
Guilford Street,Camden,530509.42,182166.89,51.523339,-0.1202234
Bayley Street,Camden,529700.83,181616.6,51.518582,-0.13207997
Scala Street,Camden,529420.51,181757.11,51.519913,-0.13606147
Belgrove Street,Camden,530253.76,182894.42,51.52994,-0.12364234
Hampstead Road (Cartmel),Camden,529197.05,182882.41,51.530074,-0.13886155
Wormwood Street,City,533151.22,181435.12,51.516153,-0.082440018
Northington Street,Camden,530937.29,182057.43,51.52226,-0.11409823
Hatton Wall,Camden,531290.96,181999.47,51.521657,-0.10903474
Holborn Circus,Camden,531352,181582,51.517895,-0.10829691
Red Lion Square,Camden,530595.47,181733.86,51.519428,-0.11914484
Theobald's Road,Camden,530761.07,181867.36,51.520593,-0.11670402
Drury Lane,Camden,530393.97,181209.62,51.514765,-0.12224824
Earnshaw Street,Camden,529948.48,181348.22,51.516117,-0.12860642
Gower Place,Camden,529464.5,182349.44,51.525223,-0.13521033
Longford Street,Camden,528846.41,182374.62,51.525589,-0.14410443
Drummond Street,Camden,529451.5,182628.28,51.527734,-0.13529518
Endsleigh Gardens,Camden,529784.86,182536.83,51.526831,-0.13053144
Bedford Way,Camden,529941.38,182188.65,51.523667,-0.12839779
Taviton Street,Camden,529744.38,182336.93,51.525042,-0.13118131
Russell Square Station,Camden,530237.34,182167.88,51.52341,-0.1241414
British Museum,Camden,530211.09,181684.46,51.519076,-0.12469427
Hatton Garden,Camden,531366.95,181685.89,51.518818,-0.10805689
Tavistock Place,Camden,530271.73,182483.89,51.526242,-0.12353486
Pancras Road,Camden,529841.66,183348.98,51.534115,-0.12941116
Doric Way,Camden,529658.08,182755.67,51.528828,-0.13226618
Eversholt Street,Camden,529331.2,183211.54,51.533,-0.13681016
Warren Street Station,Camden,529270.36,182256.69,51.524432,-0.13803929
West Smithfield Rotunda,City,531870.82,181631.408,51.518215,-0.10081738
Godliman Street,City,532001.83,180996.72,51.512478,-0.099168036
Stonecutter Street,City,531566.99,181355.5,51.515806,-0.10529913
Newgate Street,City,532013.51,181323.53,51.515414,-0.098872864
Golden Lane,City,532298.79,182035.26,51.521746,-0.094500957
Museum of London,City,532169.89,181594.98,51.517813,-0.096524458
Moorfields,City,532735.97,181748.6,51.519064,-0.088313982
Finsbury Circus,City,532852.76,181529.75,51.517069,-0.086711177
Queen Street,City,532434.82,180904.36,51.51155,-0.092966448
The Guildhall,City,532412.94,181369.17,51.515734,-0.093108788
Wood Street,City,532353.43,181509.24,51.517006,-0.09390605
Aldersgate Street,City,532102.65,181929.32,51.520839,-0.097364052
Devonshire Square,City,533340.26,181474.99,51.516459,-0.079703082
Great Tower Street,City,533128.38,180803.6,51.510479,-0.083009741
Old Street Station,Islington,532702.7,182488.5,51.525722,-0.088510869
West Cromwell Road,K&C,525173.73,178736.49,51.49372,-0.19831165
Breams Buildings,City,531115.08,181357.98,51.515928,-0.11179427
Appold Street,City,533225.36,182059.03,51.521744,-0.081138505
St. Mary Axe,City,533279.12,181223.75,51.514218,-0.0806765
Jewry Street,City,533549.8,181139.82,51.5134,-0.076819613
Windsor Terrace,Hackney,532350.41,182860.8,51.529147,-0.093442232
Fanshaw Street,Hackney,533047.65,182921.6,51.529532,-0.083377324
Shoreditch Park,Hackney,532824.63,183417.17,51.534041,-0.08640327
Murray Grove,Hackney,532597.78,183060.43,51.530887,-0.089808389
New North Road,Hackney,532861.67,183094.77,51.53113,-0.0859919
East Road,Hackney,532765.36,182818.1,51.528672,-0.08747901
New Inn Yard,Hackney,533347.02,182371.93,51.524519,-0.07926313
Falkirk Street,Hackney,533379.78,183087.62,51.530945,-0.078531268
Christopher Street,Hackney,532984.81,182001.53,51.521279,-0.084631967
Leonard Circus,Hackney,532986.42,182381.31,51.524693,-0.084459859
Sun Street,Hackney,533036.68,181861.94,51.520009,-0.083935724
Wenlock Road,Hackney,532311.64,183064.25,51.53099,-0.09392755
Stamford Street,Lambeth,531156.74,180205.31,51.505566,-0.11163187
Calshot Street,Islington,530703.8,183063.65,51.531355,-0.11709616
Rodney Street,Islington,530892.74,183113.88,51.53176,-0.11435443
Risinghill Street,Islington,531070.62,183293.01,51.533337,-0.11172281
River Street,Islington,531202.52,182832.02,51.529163,-0.10999244
Finsbury Library,Islington,531603.01,182570.25,51.526716,-0.10431284
Sadlers Sports Centre,Islington,531941.91,182373.28,51.524866,-0.099517108
Goswell Road (City Uni),Islington,531825.57,182746.06,51.528245,-0.10104875
Farringdon Lane,Islington,531331.83,182207.37,51.523517,-0.10836667
Bunhill Row,Islington,532619.6,181944.7,51.520853,-0.089911168
Clerkenwell Green,Islington,531584.48,182184.98,51.523251,-0.10473061
Finsbury Leisure Centre,Islington,532158.64,182505.71,51.526002,-0.096341522
Great Percy Street,Islington,530821.02,182794.61,51.52891,-0.11549581
Tysoe Street,Islington,531259.84,182530.82,51.526436,-0.10928364
Milroy Walk,Southwark,531524.53,180401.24,51.507242,-0.10625962
Hop Exchange,Southwark,532535.83,180136.32,51.504625,-0.09180025
Bankside Mix,Southwark,531948.57,180253.48,51.505813,-0.10020913
Turquoise Island,K&C,524939.88,181021.93,51.514307,-0.20087194
Chepstow Villas,K&C,524896.54,180778.45,51.512133,-0.20157731
Pembridge Villas,K&C,525179.06,180668.3,51.511082,-0.19754032
Notting Hill Gate Station,K&C,525262.07,180478.32,51.509356,-0.19641234
Palace Gardens Terrace,K&C,525446.83,180399.05,51.508605,-0.19379046
Vicarage Gate,K&C,525542.52,179969.49,51.504719,-0.19256083
Phillimore Gardens,K&C,525207.07,179391.86,51.499599,-0.19758996
Argyll Road,K&C,525351.92,179483.81,51.500394,-0.19548386
Abingdon Villas,K&C,525235.96,179145.61,51.497382,-0.19727402
Lexham Gardens,K&C,525608.84,178985.58,51.495861,-0.19196041
Nevern Place,K&C,525419.72,178700.14,51.493342,-0.19478276
Trebovir Road,K&C,525328.5,178420.86,51.490846,-0.19619221
Penywern Road,K&C,525590.34,178509.69,51.491588,-0.19238879
Wright's Lane,K&C,525517.64,179487.53,51.500393,-0.19309219
Derry Street,K&C,525626.45,179597.82,51.501357,-0.19148355
Queen's Gate (North),K&C,526405.85,179579.5,51.501022,-0.18027292
Gloucester Road Station,K&C,526256.44,178814.57,51.49418,-0.18269188
Queen's Gate (Central),K&C,526530.45,178797.11,51.493966,-0.17875318
Old Brompton Road,K&C,526368.13,178456.82,51.490938,-0.18120746
Seville Street,K&C,527861.67,179708.09,51.501854,-0.15926116
Natural History Museum,K&C,526501.98,178977.26,51.49559,-0.17910623
Sloane Avenue,K&C,527284.91,178728.84,51.493177,-0.16792277
Denyer Street,K&C,527477.72,178778.08,51.493583,-0.16512618
Cadogan Place,K&C,527960.38,178908.3,51.494642,-0.15812549
Chelsea Green,K&C,527389.8,178451.03,51.490664,-0.16651101
Royal Avenue,K&C,527653.88,178372.09,51.489895,-0.16273906
St. Luke's Church,K&C,527134.93,178339.16,51.489715,-0.17022225
Gloucester Road (North),K&C,526165.34,179228.37,51.497921,-0.18385413
Queen's Gate (South),K&C,526555.34,178632.18,51.492478,-0.17845236
Emperor's Gate,K&C,526070.94,178940.89,51.495354,-0.18532477
De Vere Gardens,K&C,526075.29,179650.36,51.501734,-0.18499932
Holy Trinity Brompton,K&C,527203.19,179157.56,51.497051,-0.16893441
Sumner Place,K&C,526886.31,178499.35,51.491209,-0.1737349
Gloucester Road (Central),K&C,526207.25,179066.74,51.496456,-0.18330729
Kensington Church Street,K&C,525619.17,179797.09,51.503156,-0.19151319
Flood Street,K&C,527369.84,178156.66,51.488018,-0.16690526
Ilchester Place,K&C,524844.09,179509.41,51.50074,-0.20277505
Belvedere Road,Lambeth,530941.4,180262.54,51.506128,-0.11470675
Baylis Road,Lambeth,531231.55,179748.28,51.501442,-0.11072173
Kennington Lane Rail Bridge,Lambeth,530456.13,178047.92,51.486335,-0.12250903
Tooley Street,Southwark,533382.53,180032.3,51.503491,-0.079643137
Great Dover Street,Southwark,532718.34,179334.86,51.497375,-0.089466565
Walnut Tree Walk,Lambeth,531231.91,178884.98,51.493678,-0.11104277
Lambeth North Station,Lambeth,531145.7,179489.69,51.499134,-0.11205622
Bricklayers Arms,Southwark,532977.22,179083.3,51.495058,-0.085832168
Black Prince Road,Lambeth,530830.63,178561.01,51.490868,-0.11693533
Tanner Street,Southwark,533461.67,179717.59,51.500642,-0.078624671
Commercial Street,Tower Hamlets,533611.07,182016.51,51.521266,-0.075594509
Tower Gardens,Tower Hamlets,533653.76,180708.49,51.509502,-0.075485016
Wellington Road,Westminster,526852.57,183153.22,51.533041,-0.17255138
Lambeth Road,Lambeth,530745.36,179005.39,51.494877,-0.11799463
Lollard Street,Lambeth,530962.17,178788.37,51.492877,-0.11495098
Sancroft Street,Lambeth,530956.46,178409.7,51.489473,-0.11517784
Concert Hall Approach,Lambeth,530865.79,180140.84,51.50505,-0.1158464
Albert Gate,Royal Parks,527912.8,179831.63,51.502948,-0.15848224
Hyde Park Corner,Royal Parks,528254.85,179858.52,51.503113,-0.15354776
Triangle Car Park,Royal Parks,527082.5,180200.04,51.506451,-0.17030117
Serpentine Car Park,Royal Parks,526916.47,180035.85,51.505006,-0.17275103
Speakers' Corner,Royal Parks,527733.47,180856.79,51.5122,-0.16068885
Cumberland Gate,Royal Parks,527634.48,180844.45,51.512114,-0.16211905
Palace Gate,Royal Parks,526114.73,179685.29,51.50204,-0.18442524
Black Lion Gate,Royal Parks,525854.15,180554.1,51.509907,-0.18785932
London Zoo Car Park,Royal Parks,528391.59,183623.53,51.536917,-0.15020455
The Tennis Courts,Royal Parks,528196.4,182332.8,51.52536,-0.15348407
Wellington Arch,Westminster,528530.17,179823.44,51.502736,-0.14958621
Union Street,Southwark,532071.91,180019.73,51.503682,-0.098525462
Park Street,Southwark,532463.89,180284.3,51.505972,-0.092781488
New Globe Walk,Southwark,532203.97,180434.55,51.50738,-0.096469328
Colombo Street,Southwark,531567.52,180203.72,51.505453,-0.1057142
Geraldine Street,Southwark,531572.94,179165.49,51.496124,-0.10602897
Swan Street,Southwark,532479.75,179652.88,51.500288,-0.092788234
Hampton Street,Southwark,531894.21,178733.38,51.492166,-0.10155443
Tyers Gate,Southwark,533144.55,179736.24,51.500887,-0.083181762
Dickens Square,Southwark,532410.03,179261.03,51.496791,-0.093928315
Borough Road,Southwark,531950.9,179483.56,51.498893,-0.10046809
Kennington Road,Southwark,531234.8,179111.16,51.495717,-0.11091525
Harper Road,Southwark,532246.71,179457.81,51.498591,-0.09621606
Ontario Street,Southwark,531892.27,179217.4,51.496516,-0.1014025
Borough High Street,Southwark,532356.33,179694.02,51.500695,-0.094543479
Webber Street,Southwark,531831.15,179680.23,51.500691,-0.10210789
LSBU (Borough Road),Southwark,531764.47,179461.63,51.498739,-0.10315431
New Kent Road,Southwark,532485.73,179000.94,51.494428,-0.092946426
Long Lane,Southwark,532975.83,179529.99,51.499067,-0.085693039
Hampstead Road,Camden,529256.99,182380.86,51.52555,-0.13819552
Curlew Street,Southwark,533763.05,179907.22,51.502278,-0.07420443
Bermondsey Street,Southwark,533261.06,179401.7,51.497849,-0.081623573
Rodney Road,Southwark,532681.73,178677.61,51.491479,-0.090246046
Fashion Street,Tower Hamlets,533767.99,181699.01,51.51838,-0.073467595
Euston Road,Camden,529515.81,182463,51.526236,-0.13443373
Harrington Square,Camden,529165.96,183208.85,51.533011,-0.13920315
Norton Folgate,City,533383.23,181993.05,51.521113,-0.07888749
Lower Thames Street,City,532993.34,180668.39,51.509298,-0.085004803
Bethnal Green Road,Tower Hamlets,533661.28,182282.38,51.523645,-0.074773457
Shoreditch High Street,Hackney,533419.11,182579.78,51.526371,-0.07814721
Vauxhall Cross,Lambeth,530320.05,177997,51.485917,-0.12448506
Vaughan Way,Tower Hamlets,534231.65,180605.6,51.508439,-0.067200435
Kennington Road Post Office,Lambeth,531280.47,177896.16,51.484787,-0.11070443
New Road,Tower Hamlets,534517.16,181693.13,51.518149,-0.062667089
Wapping High Street,Tower Hamlets,534197.58,180201.54,51.504817,-0.067843648
Brushfield Street,Tower Hamlets,533380.93,181755.97,51.518975,-0.079020705
Warwick Avenue Station,Westminster,526094.38,182055.16,51.523343,-0.18386635
Clifton Road,Westminster,526383.28,182310.54,51.52557,-0.17961155
Grove End Road,Westminster,526564.34,182906.36,51.530886,-0.17678994
Kennington Lane Tesco,Lambeth,530915.77,178108.3,51.486777,-0.11587955
Lisson Grove,Westminster,526894.33,182420.42,51.526444,-0.17221004
Mallory Street,Westminster,527306.54,182275.31,51.525049,-0.16632666
Bell Street,Westminster,527339.64,181936.92,51.521995,-0.16597365
Lodge Road,Westminster,527031.7,182634.5,51.528337,-0.17015916
Charlbert Street,Westminster,527158.01,183300.75,51.534293,-0.16808913
Park Road (Baker Street),Westminster,527817.25,182228.7,51.524511,-0.15898191
Dorset Square,Westminster,527673.49,182011.34,51.522593,-0.161135
Old Quebec Street,Westminster,527897.26,181113.12,51.514473,-0.15823368
Marylebone Lane,Westminster,528597.94,181162.61,51.514754,-0.14813358
Hinde Street,Westminster,528327.06,181384.41,51.516811,-0.15194172
Chapel Place,Westminster,528658.96,181225.18,51.515306,-0.14723201
Wells Street,Westminster,529286.74,181467.67,51.517338,-0.138098
Foley Street,Westminster,529114.14,181667.74,51.519175,-0.14050229
Portland Place,Westminster,528781.93,181829.97,51.520706,-0.14523989
Bolsover Street,Westminster,528884.89,182144.48,51.523514,-0.14364105
Beaumont Street,Westminster,528351.81,181962.95,51.521999,-0.15138571
Nutford Place,Westminster,527462.88,181329.66,51.516512,-0.16442109
Crawford Street,Westminster,527952.63,181758.37,51.520257,-0.15720756
Paddington Street,Westminster,528123.95,181798.72,51.520577,-0.15472976
George Place Mews,Westminster,527888.1,181382.08,51.516892,-0.1582658
St. James's Square,Westminster,529554.32,180370.72,51.507418,-0.13464048
South Audley Street,Westminster,528392.09,180542.12,51.509229,-0.15131183
Curzon Street,Westminster,528772.32,180311.26,51.507067,-0.14592353
St. George Street,Westminster,528975.13,180860.64,51.511954,-0.14279954
North Audley Street,Westminster,528218.73,180947.41,51.512908,-0.15367056
Green Street,Westminster,527957.43,180870.1,51.512275,-0.15745761
Bruton Street,Westminster,528882.67,180722.19,51.510735,-0.14418936
Woodstock Street,Westminster,528655.55,181091.24,51.514103,-0.14732408
Milford Lane,Westminster,531042.4,180919.11,51.512009,-0.11300838
Carey Street,Westminster,531050.1,181253.15,51.515009,-0.11276912
Kingsway,Westminster,530654.56,181176.09,51.514408,-0.11850126
Wellington Street,Westminster,530581.33,180879.01,51.511756,-0.11966258
William IV Street,Westminster,530233.58,180614.78,51.509455,-0.12477232
Craven Street,Westminster,530149.2,180461.39,51.508099,-0.12603846
Pall Mall East,Westminster,529825.47,180416.1,51.507769,-0.13072094
St. Martin's Street,Westminster,529891.25,180564.33,51.509084,-0.12971601
Charles II Street,Westminster,529735.86,180488.71,51.508437,-0.13199056
Soho Square,Westminster,529690.11,181287.38,51.515628,-0.13234497
Golden Square,Westminster,529373.54,180863.79,51.51189,-0.13706632
Great Marlborough Street,Westminster,529310.5,181165.15,51.514618,-0.13786299
Wardour Street,Westminster,529638.37,180939.3,51.512512,-0.1332218
Whitehall Place,Westminster,530350.82,180292.98,51.506534,-0.12320627
Panton Street,Westminster,529763.87,180622.49,51.509635,-0.13153806
Tavistock Street,Westminster,530506.11,180900.62,51.511962,-0.12073498
Houghton Street,Westminster,530775.78,181091.44,51.513617,-0.11679001
Smith Square,Westminster,530076.33,179091.14,51.495805,-0.12759443
Horseferry Road,Westminster,529873.85,178973.78,51.494791,-0.13056044
Regency Street,Westminster,529764.23,178666.38,51.492057,-0.13224247
Rochester Row,Westminster,529527.71,179079.49,51.495823,-0.13550289
Vincent Square,Westminster,529432.24,178872.11,51.493984,-0.13694648
Howick Place,Westminster,529299.12,179176.71,51.496746,-0.13874995
Ashley Place,Westminster,529147.11,179106.96,51.496152,-0.14096397
Tachbrook Street,Westminster,529337.84,178661.19,51.49211,-0.13839141
Guildhouse Street,Westminster,529131.03,178682.02,51.492345,-0.14134932
Gloucester Street,Westminster,529253.6,178531.22,51.490961,-0.13964824
Rampayne Street,Westminster,529727.03,178433.45,51.489971,-0.13286067
St. George's Square,Westminster,529538.31,178233.95,51.488217,-0.13565472
Elizabeth Bridge,Westminster,528704.44,178673.86,51.492362,-0.14749978
Warwick Square,Westminster,529097.16,178404.14,51.489855,-0.14194037
Belgrave Road,Westminster,528934.35,178772.58,51.493199,-0.14415252
Belgrave Square,Westminster,528348.77,179448.56,51.499407,-0.15234323
Eaton Square,Westminster,528454.85,179132.12,51.496543,-0.15093193
Grosvenor Crescent,Westminster,528282.44,179662.78,51.501346,-0.15321578
Eccleston Place,Westminster,528689.88,178849.45,51.493947,-0.14765161
Winsland Street,Westminster,526692.36,181339.58,51.516775,-0.1755086
South Wharf Road,Westminster,526668.47,181400.78,51.517328,-0.1758324
North Wharf Road,Westminster,526606.98,181542.44,51.518618,-0.1766745
Porchester Place,Westminster,527414.36,181131.29,51.514743,-0.16518398
Southwick Street,Westminster,527127.56,181258.45,51.515949,-0.16927201
Princes Square,Westminster,525600.85,180946.27,51.513487,-0.19137793
Whiteley's,Westminster,525820.85,181094.2,51.514768,-0.18815645
Bayswater Road,Westminster,526789.06,180791.63,51.511828,-0.17430832
Kensington Gore,Westminster,526515.02,179627.42,51.501429,-0.17867181
Cotton Garden Estate,Lambeth,531565.98,178567.74,51.490751,-0.10635247
Poured Lines,Southwark,531741.25,180345.48,51.506688,-0.10315561
Braham Street,Tower Hamlets,533773.28,181237.7,51.514227,-0.073556357
Royal London Hospital,Tower Hamlets,534723.17,181800.37,51.519061,-0.059659078
Altab Ali Park,Tower Hamlets,534161.89,181535.31,51.516813,-0.067854885
LMU Commercial Road,Tower Hamlets,534288.83,181328.18,51.514923,-0.066104465
Leman Street,Tower Hamlets,534056,181037.08,51.512363,-0.069556445
Embankment (Savoy),Westminster,530628.75,180643.74,51.509625,-0.11907304
Vauxhall Bridge,Westminster,529973.46,178260.55,51.48836,-0.12938306
Queen Mother Sports Centre,Westminster,529223.25,178820.98,51.493565,-0.1399744
Knightsbridge,Westminster,528128.94,179815.18,51.502755,-0.15537773
St. John's Wood Road,Westminster,526721.14,182510.28,51.527292,-0.17467013
Westminster University,Westminster,528104.35,182009.43,51.522478,-0.15492682
Barbican Centre,City,532463.19,181850.05,51.520044,-0.09219361
Grosvenor Road,Westminster,529090.15,177903.33,51.485354,-0.14222416
Great Russell Street,Camden,529994.61,181528.35,51.517724,-0.12787753
Jubilee Gardens,Lambeth,530816.89,180092.77,51.50463,-0.11656978
Claverton Street,Westminster,529377.55,177853.07,51.484839,-0.1381114
Berry Street,Islington,531912.73,182148.2,51.522851,-0.10001905
Hardwick Street,Islington,531338.27,182688.56,51.527838,-0.10808666
St. John's Wood Church,Westminster,527202.89,182878,51.530491,-0.1676074
Abbey Orchard Street,Westminster,529755.52,179341.07,51.498125,-0.13212408
Eastbourne Mews,Westminster,526440.38,181292.94,51.516409,-0.17915529
Orsett Terrace,Westminster,526118.3,181453.46,51.517928,-0.18373585
Westbourne Grove,Westminster,525672.29,181175.1,51.515529,-0.19025933
Portugal Street,Westminster,530814.86,181239.61,51.514938,-0.11617344
Great Titchfield Street,Westminster,529052.72,181785.42,51.520249,-0.1413522
Alderney Street,Westminster,529184.31,178206.2,51.488056,-0.14076036
Bramham Gardens,K&C,525731.42,178354.02,51.490163,-0.19041407
Collingham Gardens,K&C,525980.1,178521.74,51.491609,-0.18676996
Kensington Olympia Station,K&C,524383.68,179210.4,51.498154,-0.20951846
Bath Street,Islington,532538.4,182502.8,51.525886,-0.090868233
Baldwin Street,Islington,532695,182632.9,51.527017,-0.088557519
Margery Street,Islington,531039.1,182542.5,51.526595,-0.11244865
St. John Street,Islington,531568.7,182752.1,51.528359,-0.10474916
Claremont Square,Islington,531199.2,183110.5,51.531662,-0.10993219
Torrens Street,Islington,531505.2,183177.73,51.532193,-0.10549826
Graham Street,Islington,531885.3,183239,51.532662,-0.099999875
Liverpool Road (N1 Centre),Islington,531393.7,183431.3,51.534502,-0.10701732
Cloudesley Road,Islington,531252.73,183416.66,51.5344,-0.1090546
Roscoe Street,Islington,532263.4,182168.6,51.522949,-0.094955254
Knaresborough Place,K&C,525707.33,178739.31,51.493629,-0.19062258
Penfold Street,Westminster,526939.5,182025.86,51.522884,-0.17170391
Sackville Street,Westminster,529253.69,180654.96,51.510039,-0.13887115
Prince Albert Road,Westminster,527654.29,183490.4,51.535889,-0.16087316
Montpelier Street,Westminster,527437.25,179366.83,51.498876,-0.1654899
Broadcasting House,Westminster,528857.44,181542.87,51.51811,-0.14424994
Little Argyll Street,Westminster,529062.28,181145.45,51.514495,-0.1414423
Norton Folgate (Ext),City,533383.23,181993.05,51.521113,-0.07888749
Timber Lodge,LLDC (Newham),537759,184969,2/20/1900,###############################################################################################################################################################################################################################################################
Lee Valley VeloPark,LLDC (Newham),537680,185252,51.549368,-0.015719054
London Aquatics Centre,LLDC (Newham),538067,184325,51.540944,-0.010504605
Aquatics Canal,LLDC (Newham),537971,184226,51.540078,-0.011926775
Eton Manor,LLDC (Newham),537694,185769,51.554011,-0.015315069
Here East North,LLDC (Newham),537203.027,185167.369,51.548721,-0.02262724
Here East South,LLDC (Newham),537360,184911,51.546382,-0.020464266
Copper Box Arena,LLDC (Newham),537430,184741,51.544838,-0.019521751
The Orbit,LLDC (Newham),537978,184075,51.538719,-0.011885041
East Village,LLDC (Newham),538090,184925,51.54633,-0.009937937
Stratford Station,LLDC (Newham),538461,184413,51.541638,-0.004792343
